 =======================================================================================

                     LuAIMD: An ab initio molecular dynamics program

                                 Author: Yun-ting Bu

 =======================================================================================

 Basis: 6-31G**
 Charge =  0   Spin multiplicity = 1

 Cartesian coordinates (in Angstroms):

   Atom           X                 Y                 Z       
  ------  ----------------  ----------------  ----------------
    O        0.00000000        0.00000000         0.12091400
    H        0.00000000        0.75666800        -0.48365800
    H        0.00000000       -0.75666800        -0.48365800

=======================================
          Molecular Dynamics
=======================================

 Nstep=  1000
 Time=   500.00 fs
 Velocity initialization: Maxwell-Boltzmann distribution, at   298.15 K.
 MD intergral method: Velocity_Verlet
 Thermostat: Berendsen
 Bath temperature:   298.15 K
 Relaxation time:  30.00 fs
 Cartesian coordinates will be given in: pos.xyz.
 Bond length and bond angle you have chosen will be given in: mole_geom.dat.

------MD step------

time(fs)     Etot(Hartree)      Ekin(Hartree)      Epot(Hartree)      T(K)      t_scf(s)     t_grad(s)
========   ================   ================   ================   ========   ==========   ==========
    0.00     -76.2171676561       0.0035004242     -76.0250824420     245.63        0.364        6.589
    0.50     -76.2167253611       0.0026271007     -76.0230082990     184.35        0.353        5.209
    1.00     -76.2160933276       0.0020294909     -76.0211736377     142.41        0.345        5.213
    1.50     -76.2155594476       0.0015419702     -76.0197681431     108.20        0.343        5.154
    2.00     -76.2153488258       0.0013842755     -76.0192782933      97.14        0.331        5.228
    2.50     -76.2155505842       0.0016389288     -76.0198913274     115.01        0.334        5.230
    3.00     -76.2160850691       0.0022204931     -76.0214277004     155.82        0.358        5.179
    3.50     -76.2167226012       0.0028973116     -76.0233795391     203.31        0.344        5.829
    4.00     -76.2171652347       0.0033756152     -76.0250806033     236.87        0.375        5.554
    4.50     -76.2171752677       0.0034273505     -76.0259689625     240.50        0.348        5.341
    5.00     -76.2167136824       0.0030227026     -76.0258668796     212.11        0.343        5.288
    5.50     -76.2160109676       0.0023913237     -76.0251262530     167.80        0.370        5.734
    6.00     -76.2154788206       0.0019291577     -76.0244647941     135.37        0.365        5.408
    6.50     -76.2154605436       0.0019578143     -76.0244938062     137.38        0.338        5.492
    7.00     -76.2159793251       0.0024906660     -76.0252467285     174.78        0.354        5.587
    7.50     -76.2167068154       0.0032089610     -76.0261286086     225.18        0.347        5.360
    8.00     -76.2172040537       0.0036921901     -76.0263738460     259.09        0.344        5.377
    8.50     -76.2172083468       0.0036917461     -76.0255834819     259.06        0.356        5.307
    9.00     -76.2167465968       0.0032405751     -76.0239272844     227.40        0.352        5.311
    9.50     -76.2160630936       0.0025833214     -76.0219876249     181.28        0.609        5.863
   10.00     -76.2154702889       0.0020293420     -76.0204559491     142.40        0.371        5.700
   10.50     -76.2152166975       0.0018215366     -76.0198670551     127.82        0.351        5.776
   11.00     -76.2154055068       0.0020560949     -76.0204369054     144.28        0.368        5.612
   11.50     -76.2159601238       0.0026500246     -76.0219928602     185.96        0.337        5.462
   12.00     -76.2166419177       0.0033624047     -76.0240112977     235.95        0.384        5.749
   12.50     -76.2171327518       0.0038794797     -76.0257878283     272.23        0.368        5.372
   13.00     -76.2171716644       0.0039508506     -76.0267155526     277.24        0.350        5.376
   13.50     -76.2167076363       0.0035357596     -76.0265925016     248.11        0.377        5.421
   14.00     -76.2159809849       0.0028737731     -76.0257871717     201.66        0.418        5.716
   14.50     -76.2154288348       0.0023849987     -76.0250627806     167.36        0.363        5.508
   15.00     -76.2154127154       0.0024080303     -76.0250625231     168.98        0.365        5.608
   15.50     -76.2159513746       0.0029519787     -76.0258096187     207.15        0.359        5.581
   16.00     -76.2166997162       0.0036822286     -76.0266759464     258.39        0.362        5.582
   16.50     -76.2172064054       0.0041662362     -76.0268717671     292.35        0.369        5.507
   17.00     -76.2172060538       0.0041525303     -76.0259940192     291.39        0.362        5.597
   17.50     -76.2167286359       0.0036770187     -76.0242212741     258.02        0.373        5.588
   18.00     -76.2160231376       0.0029891395     -76.0221493696     209.75        0.368        5.572
   18.50     -76.2154073345       0.0024037025     -76.0204853179     168.67        0.379        5.523
   19.00     -76.2151356092       0.0021694863     -76.0197806002     152.24        0.345        5.557
   19.50     -76.2153167231       0.0023881162     -76.0202666931     167.58        0.360        5.593
   20.00     -76.2158788852       0.0029812044     -76.0217846565     209.20        0.377        5.557
   20.50     -76.2165855477       0.0037096408     -76.0238185108     260.31        0.365        5.566
   21.00     -76.2171138298       0.0042548203     -76.0256566430     298.57        0.349        5.532
   21.50     -76.2171895700       0.0043534027     -76.0266664394     305.49        0.363        5.600
   22.00     -76.2167435644       0.0039472591     -76.0266087526     276.99        0.360        5.565
   22.50     -76.2160022306       0.0032632449     -76.0258219468     228.99        0.363        5.608
   23.00     -76.2154041683       0.0027237936     -76.0250680742     191.13        0.363        5.531
   23.50     -76.2153316397       0.0026879364     -76.0250258686     188.62        0.371        5.600
   24.00     -76.2158342864       0.0031941812     -76.0257730300     224.14        0.364        5.576
   24.50     -76.2165892097       0.0039284213     -76.0267186001     275.67        0.360        5.591
   25.00     -76.2171427416       0.0044550415     -76.0270634530     312.62        0.375        5.507
   25.50     -76.2172054293       0.0044987961     -76.0263549199     315.69        0.386        5.660
   26.00     -76.2167782927       0.0040673178     -76.0247145413     285.41        0.372        5.583
   26.50     -76.2160920770       0.0033924094     -76.0227038437     238.05        0.365        5.593
   27.00     -76.2154628178       0.0027875565     -76.0210290687     195.61        0.367        5.524
   27.50     -76.2151563622       0.0025132195     -76.0202672203     176.36        0.344        5.549
   28.00     -76.2152988886       0.0026884567     -76.0206866488     188.66        0.370        5.578
   28.50     -76.2158356018       0.0032516534     -76.0221641089     228.18        0.370        5.562
   29.00     -76.2165407055       0.0039740730     -76.0242067966     278.87        0.363        5.541
   29.50     -76.2170912250       0.0045366645     -76.0261042970     318.35        0.354        5.569
   30.00     -76.2172020962       0.0046650742     -76.0272030655     327.36        0.359        5.580
   30.50     -76.2167877042       0.0042849327     -76.0272311850     300.68        0.367        5.588
   31.00     -76.2160604495       0.0036093276     -76.0264977386     253.27        0.365        5.561
   31.50     -76.2154531287       0.0030550406     -76.0257504203     214.38        0.353        5.543
   32.00     -76.2153516313       0.0029848077     -76.0256713591     209.45        0.359        5.603
   32.50     -76.2158176042       0.0034490014     -76.0263575742     242.02        0.366        5.572
   33.00     -76.2165450653       0.0041498590     -76.0272465280     291.20        0.363        5.593
   33.50     -76.2170922985       0.0046631251     -76.0275583652     327.22        0.366        5.518
   34.00     -76.2171686368       0.0047123316     -76.0268359024     330.67        0.369        5.597
   34.50     -76.2167628372       0.0042933760     -76.0251770747     301.28        0.368        5.583
   35.00     -76.2160915568       0.0036245948     -76.0231185794     254.35        0.370        5.573
   35.50     -76.2154628397       0.0030119232     -76.0213555716     211.35        0.360        5.496
   36.00     -76.2151429156       0.0027164668     -76.0204714852     190.62        0.354        5.579
   36.50     -76.2152649081       0.0028605206     -76.0207504501     200.73        0.358        5.588
   37.00     -76.2157845658       0.0033968536     -76.0221001122     238.36        0.410        5.674
   37.50     -76.2164875688       0.0041117297     -76.0240591907     288.53        0.362        5.538
   38.00     -76.2170589014       0.0046897236     -76.0259330757     329.09        0.357        5.536
   38.50     -76.2172131542       0.0048554233     -76.0270696243     340.72        0.359        5.598
   39.00     -76.2168510772       0.0045203576     -76.0271704681     317.20        0.358        5.592
   39.50     -76.2161579833       0.0038711163     -76.0264908261     271.64        0.360        5.540
   40.00     -76.2155384807       0.0032981842     -76.0257219483     231.44        0.355        5.547
   40.50     -76.2153726063       0.0031601962     -76.0255323042     221.76        0.354        5.613
   41.00     -76.2157529469       0.0035380236     -76.0260750057     248.27        0.358        5.569
   41.50     -76.2164243020       0.0041822866     -76.0268804532     293.48        0.361        5.608
   42.00     -76.2169766963       0.0046985523     -76.0272251806     329.71        0.364        5.516
   42.50     -76.2171109235       0.0048017076     -76.0266323126     336.95        0.364        5.590
   43.00     -76.2167793092       0.0044521816     -76.0251282827     312.42        0.362        5.558
   43.50     -76.2161607836       0.0038315646     -76.0231778260     268.87        0.366        5.599
   44.00     -76.2155427701       0.0032258305     -76.0214389964     226.36        0.358        5.477
   44.50     -76.2151918888       0.0028968999     -76.0204998764     203.28        0.367        5.574
   45.00     -76.2152574955       0.0029872937     -76.0206838468     209.63        0.354        5.565
   45.50     -76.2157198859       0.0034704805     -76.0219456621     243.53        0.355        5.557
   46.00     -76.2163893732       0.0041531239     -76.0238708165     291.43        0.381        5.508
   46.50     -76.2169674580       0.0047392432     -76.0258016401     332.56        0.357        5.571
   47.00     -76.2171697039       0.0049533188     -76.0270873150     347.59        0.369        5.607
   47.50     -76.2168786812       0.0046880262     -76.0273923481     328.97        0.359        5.538
   48.00     -76.2162468227       0.0040974404     -76.0269055684     287.53        0.372        5.545
   48.50     -76.2156469799       0.0035416375     -76.0262535408     248.52        0.359        5.544
   49.00     -76.2154499816       0.0033711526     -76.0260829013     236.56        0.364        5.582
   49.50     -76.2157719033       0.0036898322     -76.0265867529     258.92        0.367        5.572
   50.00     -76.2163987581       0.0042876442     -76.0273684732     300.87        0.373        5.566
   50.50     -76.2169481910       0.0047964329     -76.0277517018     336.58        0.363        5.516
   51.00     -76.2171169849       0.0049273187     -76.0272474543     345.76        0.368        5.703
   51.50     -76.2168307704       0.0046152562     -76.0258286325     323.86        0.374        5.534
   52.00     -76.2162405095       0.0040150556     -76.0239064042     281.75        0.361        5.571
   52.50     -76.2156192185       0.0033990461     -76.0221136726     238.52        0.360        5.494
   53.00     -76.2152351016       0.0030311602     -76.0210459273     212.70        0.364        5.592
   53.50     -76.2152502244       0.0030668564     -76.0210563961     215.21        0.360        5.553
   54.00     -76.2156630912       0.0034978263     -76.0221407608     245.45        0.361        5.553
   54.50     -76.2163032491       0.0041496326     -76.0239273551     291.19        0.357        5.507
   55.00     -76.2168878931       0.0047411287     -76.0257936102     332.70        0.360        5.580
   55.50     -76.2171383949       0.0050012498     -76.0271031363     350.95        0.368        5.571
   56.00     -76.2169248373       0.0048089564     -76.0274977579     337.46        0.373        5.542
   56.50     -76.2163648035       0.0042836409     -76.0270992200     300.59        0.358        5.541
   57.00     -76.2157868355       0.0037433264     -76.0264484131     262.68        0.353        5.556
   57.50     -76.2155400434       0.0035195291     -76.0261495070     246.97        0.362        5.586
   58.00     -76.2157669719       0.0037428360     -76.0264446140     262.64        0.350        5.559
   58.50     -76.2163143540       0.0042613217     -76.0270500306     299.03        0.363        5.563
   59.00     -76.2168469747       0.0047517275     -76.0273764009     333.44        0.365        5.526
   59.50     -76.2170628690       0.0049261302     -76.0269344984     345.68        0.368        5.579
   60.00     -76.2168515159       0.0046844245     -76.0256268734     328.72        0.366        5.544
   60.50     -76.2163205318       0.0041391684     -76.0237824044     290.45        0.359        5.574
   61.00     -76.2157153583       0.0035358009     -76.0219839388     248.12        0.357        5.526
   61.50     -76.2152989203       0.0031334386     -76.0208211992     219.88        0.359        5.570
   62.00     -76.2152464445       0.0031010715     -76.0206776886     217.61        0.357        5.555
   62.50     -76.2155815120       0.0034556145     -76.0216021481     242.49        0.365        5.575
   63.00     -76.2161634558       0.0040520610     -76.0232841877     284.34        0.366        5.496
   63.50     -76.2167346571       0.0046334369     -76.0251520253     325.14        0.355        5.590
   64.00     -76.2170258909       0.0049366527     -76.0265876078     346.42        0.367        5.568
   64.50     -76.2168913473       0.0048238056     -76.0272005698     338.50        0.363        5.566
   65.00     -76.2164085079       0.0043747559     -76.0270328161     306.99        0.369        5.502
   65.50     -76.2158619624       0.0038656678     -76.0265375516     271.26        0.353        5.554
   66.00     -76.2155855312       0.0036144251     -76.0262855771     253.63        0.362        5.587
