 =======================================================================================

                     LuAIMD: An ab initio molecular dynamics program

                                 Author: Yun-ting Bu

 =======================================================================================

 Basis: sto-3g
 Charge =  0   Spin multiplicity = 1

 Cartesian coordinates (in Angstroms):

   Atom           X                 Y                 Z       
  ------  ----------------  ----------------  ----------------
    N       -1.48586000        0.53067000         0.00000000
    H       -0.46586000        0.53067000         0.00000000
    H       -1.82586000       -0.25302000         0.55735000
    H       -1.82586000        0.43982000        -0.95736000

=======================================
          Molecular Dynamics
=======================================

 Nstep=  1000
 Time=   500.00 fs
 Velocity initialization: Maxwell-Boltzmann distribution, at   298.15 K.
 MD intergral method: Velocity_Verlet
 Thermostat: Berendsen
 Bath temperature:   298.15 K
 Relaxation time:  30.00 fs
 Cartesian coordinates will be given in: pos.xyz.
 Bond length and bond angle you have chosen will be given in: mole_geom.dat.

------MD step------

time(fs)     Etot(Hartree)      Ekin(Hartree)      Epot(Hartree)      T(K)      t_scf(s)     t_grad(s)
========   ================   ================   ================   ========   ==========   ==========
    0.00     -55.4999987447       0.0026892680     -55.4558082550     141.53        0.009        0.202
    0.50     -55.5005725679       0.0027013958     -55.4558008149     142.17        0.011        0.187
    1.00     -55.5009586518       0.0031315366     -55.4557646145     164.81        0.010        0.187
    1.50     -55.5011786901       0.0033905049     -55.4552101361     178.44        0.008        0.190
    2.00     -55.5013511448       0.0035933326     -55.4544625893     189.11        0.008        0.191
    2.50     -55.5015932254       0.0038563648     -55.4538518694     202.96        0.008        0.191
    3.00     -55.5019791236       0.0042539330     -55.4536176116     223.88        0.009        0.191
    3.50     -55.5025377682       0.0048140026     -55.4538925070     253.36        0.009        0.193
    4.00     -55.5032528863       0.0055182719     -55.4546933941     290.42        0.009        0.196
    4.50     -55.5040566690       0.0062975895     -55.4559039005     331.44        0.009        0.284
    5.00     -55.5048335664       0.0070374598     -55.4572812298     370.38        0.018        0.226
    5.50     -55.5054486570       0.0076067879     -55.4585152779     400.34        0.009        0.193
    6.00     -55.5057944464       0.0079032746     -55.4593270356     415.94        0.008        0.192
    6.50     -55.5058295894       0.0078898285     -55.4595532637     415.24        0.009        0.193
    7.00     -55.5055809699       0.0075953454     -55.4591608312     399.74        0.009        0.193
    7.50     -55.5051052946       0.0070776048     -55.4581830211     372.49        0.009        0.194
    8.00     -55.5044439192       0.0063809526     -55.4566425401     335.82        0.009        0.193
    8.50     -55.5036168368       0.0055312054     -55.4545482608     291.10        0.009        0.191
    9.00     -55.5026638057       0.0045737164     -55.4519788332     240.71        0.009        0.194
    9.50     -55.5016847224       0.0036094248     -55.4491599202     189.96        0.009        0.192
   10.00     -55.5008243975       0.0027789349     -55.4464306589     146.25        0.009        0.192
   10.50     -55.5002057568       0.0021994940     -55.4441089722     115.76        0.008        0.192
   11.00     -55.4998730504       0.0019122151     -55.4423759221     100.64        0.009        0.194
   11.50     -55.4997948729       0.0018854651     -55.4412754843      99.23        0.010        0.195
   12.00     -55.4999157954       0.0020638845     -55.4408055736     108.62        0.009        0.192
   12.50     -55.5002064927       0.0024161688     -55.4410016400     127.16        0.009        0.182
   13.00     -55.5006739839       0.0029451259     -55.4419421345     155.00        0.011        0.190
   13.50     -55.5013334688       0.0036609013     -55.4436829235     192.67        0.008        0.185
   14.00     -55.5021717152       0.0045459229     -55.4461811467     239.25        0.009        0.187
   14.50     -55.5031300770       0.0055387864     -55.4492640521     291.50        0.008        0.186
   15.00     -55.5041147771       0.0065444644     -55.4526568002     344.43        0.008        0.181
   15.50     -55.5050215189       0.0074581747     -55.4560419057     392.52        0.009        0.188
   16.00     -55.5057528686       0.0081822692     -55.4591062461     430.63        0.008        0.190
   16.50     -55.5062167159       0.0086256670     -55.4615516985     453.96        0.008        0.181
   17.00     -55.5063197184       0.0086997463     -55.4630957326     457.86        0.008        0.182
   17.50     -55.5059892405       0.0083415957     -55.4635253040     439.01        0.008        0.177
   18.00     -55.5052378279       0.0075750113     -55.4628279496     398.67        0.008        0.180
   18.50     -55.5042227992       0.0065623355     -55.4613057657     345.37        0.009        0.180
   19.00     -55.5032141101       0.0055677723     -55.4595063171     293.03        0.008        0.181
   19.50     -55.5024469749       0.0048157397     -55.4579307575     253.45        0.009        0.183
   20.00     -55.5019681688       0.0043484116     -55.4567324442     228.85        0.008        0.180
   20.50     -55.5016225248       0.0040161921     -55.4556864187     211.37        0.009        0.179
   21.00     -55.5011941793       0.0036126030     -55.4544561274     190.13        0.008        0.183
   21.50     -55.5005711028       0.0030312491     -55.4529045972     159.53        0.008        0.177
   22.00     -55.4998084907       0.0023272496     -55.4512098410     122.48        0.008        0.178
   22.50     -55.4990806978       0.0016710878     -55.4497636893      87.95        0.008        0.181
