 =======================================================================================

                     LuAIMD: An ab initio molecular dynamics program

                                 Author: Yun-ting Bu

 =======================================================================================

 Basis: 6-31G**
 Charge =  0   Spin multiplicity = 1

 Cartesian coordinates (in Angstroms):

   Atom           X                 Y                 Z       
  ------  ----------------  ----------------  ----------------
    O        0.00000000        0.00000000         0.12091400
    H        0.00000000        0.75666800        -0.48365800
    H        0.00000000       -0.75666800        -0.48365800

=======================================
          Molecular Dynamics
=======================================

 Nstep=  1000
 Time=   500.00 fs
 Velocity initialization: Maxwell-Boltzmann distribution, at   298.15 K.
 MD intergral method: Velocity_Verlet
 Thermostat: Berendsen
 Bath temperature:   298.15 K
 Relaxation time:  30.00 fs
 Cartesian coordinates will be given in: pos.xyz.
 Bond length and bond angle you have chosen will be given in: mole_geom.dat.

------MD step------

time(fs)     Etot(Hartree)      Ekin(Hartree)      Epot(Hartree)      T(K)      t_scf(s)     t_grad(s)
========   ================   ================   ================   ========   ==========   ==========
    0.00     -76.0215800490       0.0028561043     -76.0244361533     200.42        0.135        0.189
    0.50     -76.0220190970       0.0027061624     -76.0247252594     189.90        0.108        0.178
    1.00     -76.0225084080       0.0032071594     -76.0257155674     225.05        0.115        0.179
    1.50     -76.0228277572       0.0035349864     -76.0263627435     248.06        0.116        0.180
    2.00     -76.0228389208       0.0035599646     -76.0263988854     249.81        0.117        0.210
    2.50     -76.0225703916       0.0033148147     -76.0258852063     232.61        0.112        0.197
    3.00     -76.0222027874       0.0029770106     -76.0251797980     208.90        0.118        0.189
    3.50     -76.0219539209       0.0027568880     -76.0247108089     193.46        0.108        0.185
    4.00     -76.0219430715       0.0027676714     -76.0247107429     194.21        0.102        0.210
    4.50     -76.0221256710       0.0029636604     -76.0250893314     207.97        0.105        0.178
    5.00     -76.0223308147       0.0031781526     -76.0255089673     223.02        0.118        0.202
    5.50     -76.0223723058       0.0032322706     -76.0256045764     226.82        0.113        0.192
    6.00     -76.0221661750       0.0030480436     -76.0252142186     213.89        0.108        0.195
    6.50     -76.0217827873       0.0026969633     -76.0244797506     189.25        0.113        0.182
    7.00     -76.0214054362       0.0023583651     -76.0237638013     165.49        0.111        0.179
    7.50     -76.0212289623       0.0022202891     -76.0234492514     155.80        0.108        0.221
    8.00     -76.0213582513       0.0023808755     -76.0237391268     167.07        0.102        0.173
    8.50     -76.0217527255       0.0027956603     -76.0245483859     196.18        0.110        0.178
    9.00     -76.0222413874       0.0032946977     -76.0255360851     231.20        0.192        0.227
    9.50     -76.0226067182       0.0036663577     -76.0262730759     257.28        0.109        0.179
   10.00     -76.0226993479       0.0037688255     -76.0264681734     264.47        0.112        0.174
   10.50     -76.0225209188       0.0036081644     -76.0261290832     253.19        0.106        0.177
   11.00     -76.0222216059       0.0033329929     -76.0255545989     233.88        0.117        0.257
   11.50     -76.0220088746       0.0031444019     -76.0251532765     220.65        0.118        0.230
   12.00     -76.0220204717       0.0031728442     -76.0251933159     222.65        0.117        0.188
   12.50     -76.0222345231       0.0033932677     -76.0256277909     238.11        0.110        0.177
   13.00     -76.0224761695       0.0036350938     -76.0261112633     255.08        0.112        0.218
   13.50     -76.0225308437       0.0036931091     -76.0262239528     259.15        0.129        0.221
   14.00     -76.0222906760       0.0034671317     -76.0257578077     243.30        0.120        0.179
   14.50     -76.0218258323       0.0030288819     -76.0248547142     212.54        0.120        0.190
   15.00     -76.0213391228       0.0025770490     -76.0239161718     180.84        0.111        0.174
   15.50     -76.0210510984       0.0023252231     -76.0233763216     163.17        0.112        0.196
   16.00     -76.0210894831       0.0023941980     -76.0234836811     168.01        0.116        0.209
   16.50     -76.0214304364       0.0027557254     -76.0241861618     193.38        0.116        0.204
   17.00     -76.0219104652       0.0032464748     -76.0251569400     227.81        0.110        0.217
   17.50     -76.0223062022       0.0036480823     -76.0259542844     255.99        0.153        0.201
   18.00     -76.0224482339       0.0037985119     -76.0262467458     266.55        0.135        0.189
   18.50     -76.0223124766       0.0036789939     -76.0259914705     258.16        0.111        0.206
   19.00     -76.0220359796       0.0034261991     -76.0254621786     240.42        0.113        0.181
   19.50     -76.0218402795       0.0032551320     -76.0250954115     228.42        0.107        0.177
   20.00     -76.0218961101       0.0033272547     -76.0252233648     233.48        0.109        0.181
   20.50     -76.0222028027       0.0036366412     -76.0258394439     255.19        0.106        0.185
   21.00     -76.0225706542       0.0039977081     -76.0265683623     280.53        0.104        0.179
   21.50     -76.0227425035       0.0041642381     -76.0269067417     292.21        0.107        0.180
   22.00     -76.0225709445       0.0039981428     -76.0265690874     280.56        0.109        0.186
   22.50     -76.0221122080       0.0035579639     -76.0256701719     249.67        0.111        0.178
   23.00     -76.0215810108       0.0030544354     -76.0246354462     214.34        0.116        0.196
   23.50     -76.0212222843       0.0027255163     -76.0239478006     191.26        0.111        0.185
   24.00     -76.0211872739       0.0027154727     -76.0239027466     190.55        0.106        0.180
